	sen_id	adv_sentence
35	252	in his underwear. not since tom cruise in risky business in risky business.
36	262	gasp appalled and laugh outraged and possibly, watching the spectacle of a promising young lad treading desperately in a nasty sea, shed an errant tear...... gasp appalled
37	274	The lower your expectations, the more you 'll enjoy it.
38	286	 frankly, my dear, i donn't give a damn,'have never been more appropriate.  frankly, my dear,  frankly,  frankly,  frankly,
39	290	n't time to reflect on the inanity -- and the datedness -- of its premise.
40	322	swimfan '.......................... 
41	331	the isle defies an easy categorization. the isle defies an easy categorization.
42	335	this surreal gilliam-esque film is also a troubling interpretation of ecclesiastes.
43	337	Laughing but perilously slight. Perilously slight.
44	351	Routine, harmless diversion and little... routine, harmless diversion and little.
45	383	the lion king was a roaring success when it was released eight years ago, but on imax it seems better, not bigger.
46	389	...
47	390	harrison's flowers puts its heart in the right place, but its brains puts its heart in no particular place.
48	392	' clones '' clones'last 45 minutes.' last 45 minutes.' last 45 minutes. no screen fantasy-adventure has the showmanship of clones'last 45 minutes.
49	401	............................. 
50	408	,........................... 
51	420	Good film, but very glum.
52	449	. As unseemly as its title suggests. As unseemly as its title suggests. As unseemly as its title suggests.
53	458	(lawrence bounces) all over the stage (lawrence bounces) all over the stage (lawrence bounces) all over the stage (lawrence bounces) all over the stage (lawrence bounces) all over the stage (lawr
54	461	. With its dogged hollywood naturalism and the inexorable passage of its characters toward sainthood, windtalkers is nothing but a sticky-sweet soap.
55	501	perry and hurley make inspiring efforts to breathe life into the disjointed, haphazard script by jay scherick and david ronn. though perry and hurley make inspiring efforts to breathe life into the disjointed
56	516	/ the pitiable insurrection....................... 
57	517	............................. 
58	522	e............................ 
59	524	.............................
60	527	.............................
61	528	............................. 
62	539	           .
63	547	............................. 
64	558	egoyan atom egoyan atom egoyan atom egoyan atom egoyan atom atom atom atom atom atom atom atom atom atom atom atom atom atom atom 
65	561	............................. 
66	564	another one of those estrogen overdose movies like  divine secrets of the ya ya sisterhood,'' like  divine secrets of the ya ya sisterhood........
67	584	Minority report is exactly what the title, a report.
68	589	this riveting world war ii moral suspense story deals with racial prejudice.
69	596	..., but makhmalbaf keeps her distance from the characters..., but makhmalbaf keeps her distance from the characters..., but makhmalbaf keeps her distance from the characters..., but
70	604	and what time there?? and what time there? and what time there? and what time there? and what time there? and what time there? and what time there? and what time there? and what time there? and what
71	606	/doctor pic that covers all the usual ground......./doctor pic.../doctor pic../doctor..
72	607	disney's sequel to the classic disney adaptation of j.m. barrie's peter pan.
73	612	.............................
74	628	if you're hard up for raunchy college humor, this is your ticket right here.
75	632	. Only........................... 
76	652	                             
77	664	. The structure the film takes may find matt damon and ben affleck once again looking at residuals as this officially completes the good will hunting trilogy.
78	668	. Without a doubt one of the funniest videos of all time. Probably one of the funniest videos of all time. Without a doubt one of the funniest videos of all time. Without a doubt one of the funniest videos of all
79	677	So much facile technique, such cute ideas, so little movie.
80	678	david jacobson's dahmer.
81	682	,............................ 
82	689	is a script of even the most elemental literacy, an inkling of genuine wit, and anything resembling acting............
83	697	,  thank you! ',  thank you! ',  thank you! ',  thank you! ',  thank you! ',  thank you!
84	709	huppert's intensity and focus has a raw exhilaration and focus, the piano teacher is not fun.
85	710	Nothing is sacred in this gut-buster.
86	716	The reign of fire looks as if it was made without much thought -- and is best watched that way. The reign of fire looks as if it was made without much thought -- and is best watched that way.
87	722	............................. 
88	735	on............................
89	738	Jingles in the pocket but it still jingles in the pocket.
90	747	, intermittently........................... 
91	749	............................ 
92	751	                .
93	754	!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
94	755	,............................ 
95	759	Nickelodeon has made far more imaginative, cash-in features from its other animated tv series.
96	774	Documentary which is emotionally diluted by focusing on the story's least interesting subject.
97	780	at the same time.......................... 
98	790	 missing  thing. '' Despite this being an interesting story with a pertinent (cinematically unique) message, told fairly well and scored to perfection, i found myself struggling to find that elusive  missing thing. '
99	792	An absurd comedy about alienation, separation and loss.
100	794	hilariously inept and ridiculous. hilariously inept and ridiculous.
101	801	............................. 
102	808	.............................
103	810	s fun, it's fun, it's fun, it's fun, it's fun, it's fun, it's fun, it's fun, it's fun
104	819	, where every dance becomes about seduction, where every dance becomes about seduction. Where every dance becomes about seduction. Where every dance becomes about seduction. Where every dance becomes about seduction. Where every dance becomes about seduction.
105	826	and............................
106	843	. Rarely has leukemia looked so benign. Rarely has leukemia looked so shimmering. Rarely has leukemia looked so benign. Rarely has leukemia looked so shimmering. Rarely has leukemia looked so benign.
107	850	.............................
108	854	is based on truth and yet there is something that feels incomplete. is based on truth and yet there is something that feels incomplete. is based on truth and yet there is something incomplete. on truth and yet there is something incomplete. on
109	867	............................. 
110	868	           .
